Country/Region,Confirmed,Deaths,Mortality_Rate
Afghanistan,36263,1269,3.499434685492099
Albania,4880,144,2.9508196721311477
Algeria,27973,1163,4.1575805240767885
Andorra,907,52,5.733186328555679
Angola,950,41,4.315789473684211
Antigua and Barbuda,86,3,3.488372093023256
Argentina,167416,3059,1.827184976346347
Armenia,37390,711,1.901577962021931
Australia,15303,167,1.0912892896817616
Austria,20558,713,3.46823620974803
Azerbaijan,30446,423,1.389345069959929
Bahamas,382,11,2.8795811518324608
Bahrain,39482,141,0.3571247657160225
Bangladesh,226225,2965,1.310642059896121
Barbados,110,7,6.363636363636363
Belarus,67251,538,0.7999881042661077
Belgium,66428,9822,14.785933642439936
Belize,48,2,4.166666666666666
Benin,1770,35,1.977401129943503
Bhutan,99,0,0.0
Bolivia,71181,2647,3.718688975990784
Bosnia and Herzegovina,10498,294,2.8005334349399886
Botswana,739,2,0.2706359945872801
Brazil,2442375,87618,3.5874097957930293
Brunei,141,3,2.127659574468085
Bulgaria,10621,347,3.267112324639864
Burkina Faso,1100,53,4.818181818181818
Burma,350,6,1.7142857142857144
Burundi,378,1,0.26455026455026454
Cabo Verde,2328,22,0.9450171821305842
Cambodia,226,0,0.0
Cameroon,17110,391,2.2852133255406195
Canada,116458,8944,7.68002198217383
Central African Republic,4599,59,1.2828875842574472
Chad,922,75,8.134490238611713
Chile,347923,9187,2.640526783225024
China,86783,4656,5.365106069161011
Colombia,257101,8777,3.4138334740043796
Comoros,354,7,1.977401129943503
Congo (Brazzaville),3200,54,1.6875
Congo (Kinshasa),8844,208,2.3518769787426503
Costa Rica,15841,115,0.7259642699324538
Cote d'Ivoire,15655,96,0.613222612583839
Croatia,4881,139,2.8477770948576113
Cuba,2532,87,3.4360189573459716
Cyprus,1060,19,1.7924528301886793
Czechia,15516,373,2.4039700953854086
Denmark,13761,613,4.454618123682872
Djibouti,5059,58,1.1464716347104171
Dominica,18,0,0.0
Dominican Republic,64156,1083,1.688072822495168
Ecuador,81161,5532,6.8160816155542685
Egypt,92482,4652,5.0301680326982545
El Salvador,15035,408,2.7136681077485867
Equatorial Guinea,3071,51,1.660696841419733
Eritrea,265,0,0.0
Estonia,2034,69,3.392330383480826
Eswatini,2316,34,1.468048359240069
Ethiopia,14547,228,1.5673334708187256
Fiji,27,0,0.0
Finland,7398,329,4.447147877804812
France,220352,30212,13.71079000871333
Gabon,7189,49,0.6815968841285297
Gambia,326,8,2.4539877300613497
Georgia,1137,16,1.4072119613016711
Germany,207112,9125,4.405828730348796
Ghana,33624,168,0.4996431120628123
Greece,4227,202,4.778802933522592
Greenland,14,0,0.0
Grenada,23,0,0.0
Guatemala,45309,1761,3.886645037409786
Guinea,7055,45,0.6378454996456413
Guinea-Bissau,1954,26,1.3306038894575232
Guyana,389,20,5.141388174807198
Haiti,7340,158,2.1525885558583107
Holy See,12,0,0.0
Honduras,39741,1166,2.933997634684583
Hungary,4448,596,13.399280575539569
Iceland,1854,10,0.5393743257820928
India,1480073,33408,2.2571859631247917
Indonesia,100303,4838,4.82338514301666
Iran,293606,15912,5.419507775726654
Iraq,112585,4458,3.9596749122884933
Ireland,25892,1764,6.812915186157886
Israel,63985,474,0.7407986246776588
Italy,246286,35112,14.256595990027854
Jamaica,853,10,1.1723329425556859
Japan,31142,998,3.2046753580373775
Jordan,1176,11,0.935374149659864
